"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Eurybia conspicua",-113.134514,53.371613,"cdc,cdround","CAN",NA,"PRESENT",3,"iNaturalist","4171725726","https://www.inaturalist.org/observations/175279537","HUMAN_OBSERVATION",2023,7,27,"2023-07-27T12:16:19","WGS84","iNaturalist research-grade observations","175279537"
"Eurybia conspicua",-119.524413,49.465042,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4171489865","https://www.inaturalist.org/observations/175285289","HUMAN_OBSERVATION",2023,7,27,"2023-07-27T13:30:45","WGS84","iNaturalist research-grade observations","175285289"
"Eurybia conspicua",-113.412338,53.60322,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4400220798","https://www.inaturalist.org/observations/175589667","HUMAN_OBSERVATION",2023,7,29,"2023-07-29T08:30:59","WGS84","iNaturalist research-grade observations","175589667"
"Eurybia conspicua",-116.6034,46.906437,"cdc,cdround","USA",NA,"PRESENT",8,"iNaturalist","4405087767","https://www.inaturalist.org/observations/175888648","HUMAN_OBSERVATION",2023,7,30,"2023-07-30T10:33:13","WGS84","iNaturalist research-grade observations","175888648"
"Eurybia conspicua",-106.073082,53.96579,"cdc,cdround","CAN",NA,"PRESENT",20,"iNaturalist","4177087028","https://www.inaturalist.org/observations/175990795","HUMAN_OBSERVATION",2023,7,27,"2023-07-27T14:09:00","WGS84","iNaturalist research-grade observations","175990795"
"Eurybia conspicua",-117.156686,46.865752,"cdc,cdround","USA",NA,"PRESENT",12,"iNaturalist","4172064558","https://www.inaturalist.org/observations/176233263","HUMAN_OBSERVATION",2023,7,2,"2023-07-02T09:32:28","WGS84","iNaturalist research-grade observations","176233263"
"Eurybia conspicua",-112.81665,53.676358,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4172024387","https://www.inaturalist.org/observations/176263160","HUMAN_OBSERVATION",2023,7,31,"2023-07-31T15:36:33","WGS84","iNaturalist research-grade observations","176263160"
"Eurybia conspicua",-113.467711,53.511801,"cdc,cdround","CAN",NA,"PRESENT",244,"iNaturalist","4172233329","https://www.inaturalist.org/observations/176529119","HUMAN_OBSERVATION",2023,7,20,"2023-07-20T12:43:11","WGS84","iNaturalist research-grade observations","176529119"
"Eurybia conspicua",-106.226867,53.971378,"cdc,cdround","CAN",NA,"PRESENT",15,"iNaturalist","4172081627","https://www.inaturalist.org/observations/176541130","HUMAN_OBSERVATION",2023,7,29,"2023-07-29T13:39:00","WGS84","iNaturalist research-grade observations","176541130"
"Eurybia conspicua",-119.555528,49.59702,"cdc,cdround","CAN",NA,"PRESENT",5,"iNaturalist","4405269964","https://www.inaturalist.org/observations/179765877","HUMAN_OBSERVATION",2023,7,15,"2023-07-15T13:02:05","WGS84","iNaturalist research-grade observations","179765877"
